epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,169.891,0.44775,0.45348,0.83584,0.99698,0.96524,0.99259,0.88407,0.41404,0.42395,0.83735,0.000660045,0.000660045,0.000660045
43,173.418,0.42446,0.43633,0.832,0.9834,0.99128,0.99479,0.87959,0.39968,0.42031,0.83497,0.000649046,0.000649046,0.000649046
44,178.024,0.41236,0.41812,0.81531,0.99043,0.98319,0.99442,0.88904,0.39384,0.4017,0.84113,0.000638047,0.000638047,0.000638047
45,181.861,0.43616,0.43857,0.83614,0.99236,0.98383,0.99424,0.88074,0.40928,0.40471,0.84409,0.000627048,0.000627048,0.000627048
46,185.552,0.41714,0.43047,0.83517,0.98669,0.9868,0.99391,0.88921,0.40009,0.41685,0.83663,0.000616049,0.000616049,0.000616049
47,189.675,0.41551,0.43324,0.82586,0.97559,0.98715,0.99394,0.88598,0.38927,0.39949,0.83478,0.000605051,0.000605051,0.000605051
48,193.48,0.43154,0.44241,0.827,0.98846,0.98953,0.99442,0.8821,0.4135,0.40951,0.84151,0.000594052,0.000594052,0.000594052
49,197.343,0.43766,0.42815,0.8293,0.98709,0.99253,0.99442,0.87982,0.40148,0.39438,0.84371,0.000583053,0.000583053,0.000583053
50,200.865,0.44305,0.42346,0.83591,0.98538,0.98122,0.9946,0.87196,0.43071,0.39901,0.84727,0.000572054,0.000572054,0.000572054
51,205.31,0.41898,0.42023,0.83258,0.97682,0.98104,0.99329,0.89616,0.38834,0.39059,0.83838,0.000561055,0.000561055,0.000561055
52,209.257,0.43187,0.43039,0.83418,0.97801,0.98967,0.9916,0.88514,0.39948,0.38746,0.84019,0.000550056,0.000550056,0.000550056
53,212.771,0.41763,0.41209,0.82573,0.97278,0.98981,0.99425,0.89158,0.40633,0.38917,0.84546,0.000539057,0.000539057,0.000539057
54,217.054,0.41193,0.40305,0.82523,0.97455,0.98959,0.99442,0.89596,0.39145,0.3889,0.84076,0.000528058,0.000528058,0.000528058
55,221.081,0.41212,0.39542,0.81702,0.96788,0.98646,0.99479,0.88783,0.41031,0.3823,0.84166,0.000517059,0.000517059,0.000517059
56,224.829,0.41332,0.38886,0.81733,0.97317,0.9883,0.99479,0.89095,0.38137,0.3628,0.83399,0.00050606,0.00050606,0.00050606
57,228.263,0.42523,0.41453,0.82439,0.9892,0.98938,0.99479,0.88632,0.40308,0.38139,0.84081,0.000495062,0.000495062,0.000495062
58,233.057,0.42654,0.40806,0.81707,0.9764,0.99286,0.99479,0.89587,0.38409,0.36134,0.84062,0.000484063,0.000484063,0.000484063
59,236.722,0.3954,0.38772,0.81229,0.96616,0.97655,0.99479,0.90673,0.37955,0.36745,0.84232,0.000473064,0.000473064,0.000473064
60,240.35,0.41527,0.37344,0.83338,0.99227,0.94827,0.9946,0.89107,0.3793,0.36913,0.84111,0.000462065,0.000462065,0.000462065
61,244.753,0.38208,0.37099,0.82135,0.97599,0.97672,0.99394,0.896,0.38667,0.37568,0.84463,0.000451066,0.000451066,0.000451066
62,248.702,0.41611,0.41053,0.83652,0.97948,0.98735,0.9946,0.89704,0.38896,0.3699,0.84522,0.000440067,0.000440067,0.000440067
63,252.268,0.38732,0.38399,0.82534,0.98113,0.98956,0.9946,0.90783,0.37897,0.35672,0.84567,0.000429068,0.000429068,0.000429068
64,255.82,0.38963,0.37697,0.81488,0.97765,0.99174,0.99479,0.89057,0.38777,0.36119,0.85036,0.000418069,0.000418069,0.000418069
65,260.684,0.39359,0.35502,0.81531,0.979,0.99066,0.99479,0.89572,0.38371,0.35334,0.84369,0.00040707,0.00040707,0.00040707
